file 047, language go, ms 700,800,700,800,800,700,800,700,800,900, MB 64,64,64,64,64,64,64,64,64,64
file 048, language go, ms 700,700,800,700,700,700,700,700,700,700, MB 64,64,64,64,64,64,64,64,64,64
file 049, language go, ms 700,700,700,700,700,700,800,700,700,800, MB 64,64,64,64,64,64,64,64,64,64
file 050, language go, ms 900,800,900,900,800,700,900,800,800,900, MB 64,64,64,64,64,64,64,64,64,64
file 051, language go, ms 900,800,800,900,800,700,800,800,800,900, MB 64,64,64,64,64,64,64,64,64,64
file 052, language go, ms 900,1000,900,900,900,1000,900,900,900,900, MB 64,64,64,64,64,64,64,64,64,64
file 053, language go, ms 800,900,800,800,800,800,800,900,800,800, MB 64,64,64,64,64,64,64,64,64,64
file 054, language go, ms 700,800,700,700,700,700,800,700,700,700, MB 64,64,64,64,64,64,64,64,64,64
file 055, language go, ms 800,800,800,800,800,800,800,800,700,800, MB 64,64,64,64,64,64,64,64,64,64
file 056, language go, ms 700,800,700,800,800,800,800,800,700,800, MB 64,64,64,64,64,64,64,64,64,64
file 057, language go, ms 800,900,800,900,800,800,800,800,800,900, MB 64,64,64,64,64,64,64,64,64,64
file 058, language go, ms 900,900,900,900,800,900,1000,900,900,1000, MB 64,64,64,64,64,64,64,64,64,64
file 059, language go, ms 800,800,700,800,800,700,800,700,700,800, MB 64,64,64,64,64,64,64,64,64,64
file 060, language go, ms 1000,1000,1000,1000,1000,900,900,1000,900,1000, MB 64,64,64,64,64,64,64,64,64,64
file 061, language go, ms 900,900,900,800,900,900,900,900,900,900, MB 64,64,64,64,64,64,64,64,64,64
file 062, language go, ms 800,900,800,800,800,800,900,800,800,800, MB 64,64,64,64,64,64,64,64,64,64
file 063, language go, ms 1000,1000,1000,1000,1000,1000,900,1000,1000,1100, MB 64,64,64,64,64,64,64,64,64,64
file 064, language go, ms 800,900,900,900,900,900,900,900,700,900, MB 64,64,64,64,64,64,64,64,64,64
file 065, language go, ms 1100,1000,1000,1000,1000,900,1000,1100,1100,1100, MB 64,64,64,64,64,64,64,64,64,64
file 066, language go, ms 1000,1000,1100,1000,1000,1000,1000,1200,1100,1100, MB 64,64,64,64,64,64,64,64,64,64
file 067, language go, ms 1000,1100,1000,1000,1000,1000,1000,1000,1000,1000, MB 64,64,64,64,64,64,64,64,64,64
file 068, language go, ms 1100,1000,1200,1100,1000,1000,900,1200,1000,1100, MB 64,64,64,64,64,64,64,64,64,64
file 069, language go, ms 1100,1100,1000,1100,1000,1000,1100,1100,1100,1200, MB 64,64,64,64,64,64,64,64,64,64
file 070, language go, ms 1500,1500,1500,1600,1500,1400,1400,1500,1500,1400, MB 64,64,64,64,64,64,64,64,64,64
file 071, language go, ms 1600,1500,1500,1500,1400,1400,1400,1500,1600,1500, MB 64,64,64,64,64,64,64,64,64,64
file 072, language go, ms 1200,1200,1200,1100,1100,1100,1100,1200,1200,1200, MB 64,64,64,64,64,64,64,64,64,64
file 073, language go, ms 1200,1200,1200,1400,1100,1200,1200,1300,1200,1200, MB 64,64,64,64,64,64,64,64,64,64
file 074, language go, ms 1300,1200,1300,1300,1200,1200,1200,1200,1300,1200, MB 64,64,64,64,64,64,64,64,64,64
file 075, language go, ms 1400,1600,1600,1500,1400,1500,1500,1500,1500,1600, MB 64,64,64,64,64,64,64,64,64,64
file 076, language go, ms 1200,1200,1300,1300,1200,1200,1200,1200,1300,1200, MB 64,64,64,64,64,64,64,64,64,64
file 077, language go, ms 1800,1800,1700,2000,1700,1600,1800,1800,1700,1900, MB 64,64,64,64,64,64,64,64,64,64
file 078, language go, ms 1700,1800,1800,1800,1700,1700,1700,1600,1700,1700, MB 64,64,64,64,64,64,64,64,64,64
file 079, language go, ms 1400,1500,1500,1500,1400,1400,1400,1400,1500,1500, MB 64,64,64,64,64,64,64,64,64,64
file 080, language go, ms 1800,1900,1800,1900,1700,1800,1800,1900,1800,1900, MB 64,64,64,64,64,64,64,64,64,64
file 081, language go, ms 1800,1800,1800,1900,1700,1700,1700,1800,1700,1800, MB 64,64,64,64,64,64,64,64,64,64
file 082, language go, ms 1700,1600,1600,2400,1600,1600,1600,1700,1600,1700, MB 64,64,64,64,64,64,64,64,64,64
file 083, language go, ms 1800,1900,1900,1900,1800,1900,1900,1900,1900,1900, MB 64,64,64,64,64,64,64,64,64,64
file 084, language go, ms 2100,2200,2100,2900,2000,1900,2000,2100,2200,2100, MB 64,64,64,64,64,64,64,64,64,64
file 085, language go, ms 1800,1900,1900,1800,1800,1800,1900,1800,1900,2000, MB 64,64,64,64,64,64,64,64,64,64
file 086, language go, ms 2100,2400,2300,2400,2300,2200,2100,2400,2300,2300, MB 64,64,64,64,64,64,64,64,64,64
file 087, language go, ms 1800,1900,1800,2000,1900,1800,1800,2000,1900,1900, MB 64,64,64,64,64,64,64,64,64,64
file 088, language go, ms 3900,4000,4000,4100,3900,3800,3800,4000,4100,4200, MB 64,64,64,64,64,64,64,64,64,64
file 089, language go, ms 3100,3300,3200,3200,3100,3100,3100,3300,3100,3300, MB 64,64,64,64,64,64,64,64,64,64
file 090, language go, ms 3300,3500,3500,3600,3300,3300,3300,3500,3500,3500, MB 64,64,64,64,64,64,64,64,64,64
file 091, language go, ms 5300,5600,5400,5500,5300,5100,5200,5400,5600,5600, MB 64,64,64,64,64,64,64,64,64,64
file 092, language go, ms 5600,5800,5500,5800,5500,5400,5500,5600,5800,5700, MB 64,64,64,64,64,64,64,64,64,64
file 093, language go, ms 5200,5500,5400,5300,5300,5100,5200,5400,5300,5400, MB 64,64,64,64,64,64,64,64,64,64
file 094, language go, ms 6700,6900,6900,6900,6700,6700,6700,7000,7000,6900, MB 64,64,64,64,64,64,64,64,64,64
file 096, language go, ms 7700,8200,7900,8100,7800,7900,7800,8100,8300,8000, MB 64,64,64,64,64,64,64,64,64,64
file 097, language go, ms 6600,6900,7100,7000,6700,6700,6800,7000,7100,7000, MB 64,64,64,64,64,64,64,64,64,64
